House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
"1121 Laura Dr , Champaign, IL 61822","$68,000 ",2 beds,1 bath,"1,040 sq ft",Contact for details,1988,"Jul 2012 for $68,000",Forced air,Central,Unknown,Unknown,Yes,Laminate,Unknown
"1109 Laura Dr , Champaign, IL 61822","$76,000 ",2 beds,1 bath,900 sq ft,Contact for details,1987,"Jul 2013 for $76,000",Forced air,Central,Off street,Unknown,Yes,"Carpet, Tile",Unknown
"1109 Laura Dr , Champaign, IL 61822","$76,000 ",2 beds,1 bath,900 sq ft,Contact for details,1987,"Jul 2013 for $76,000",Forced air,Central,Off street,Unknown,Yes,"Carpet, Tile",Unknown
"912 Kara Dr , Champaign, IL 61822","$74,141 ",2 beds,1 bath,"1,040 sq ft",Contact for details,1986,"Nov 2012 for $74,141",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1106 Laura Dr , Champaign, IL 61822","$73,000 ",2 beds,1 bath,871 sq ft,Contact for details,1986,"May 2013 for $26,500",Forced air,320,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl"
"1002 Kara Dr , Champaign, IL 61822","$56,999 ",2 beds,1 bath,"1,020 sq ft",Contact for details,1985,"Sep 2013 for $56,999",Forced air,Central,Unknown,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"1113 Laura Dr , Champaign, IL 61822","$46,000 ",2 beds,1 bath,"1,040 sq ft",Contact for details,1985,"Jun 2012 for $46,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2467 Clayton Blvd , Champaign, IL 61822","$77,000 ",2 beds,1 bath,"1,079 sq ft","1,080 sqft",1985,"Sep 2013 for $77,000",Forced air,Central,Garage - Detached,Unknown,No,"Carpet, Linoleum / Vinyl",No
"2501 Heritage Dr , Champaign, IL 61822","$80,000 ",3 beds,2 baths,"1,088 sq ft",Contact for details,1985,"Dec 2012 for $80,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1120 Kara Dr , Champaign, IL 61822","$57,000 ",2 beds,1 bath,"1,003 sq ft",Contact for details,1985,"Feb 2012 for $57,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2604 Arden Dr , Champaign, IL 61821","$83,000 ",3 beds,1 bath,980 sq ft,"7,500 sqft",1985,"May 2012 for $83,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2810 Heritage Dr , Champaign, IL 61822","$82,500 ",3 beds,1.5 baths,"1,095 sq ft",Contact for details,1985,"May 2013 for $82,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1009 Laura Dr , Champaign, IL 61822","$78,000 ",2 beds,1 bath,"1,048 sq ft",Contact for details,1985,"May 2012 for $78,000",Forced air,Central,Unknown,Unknown,Yes,Unknown,Unknown
"1115 Laura Dr , Champaign, IL 61822","$63,500 ",2 beds,1 bath,"1,040 sq ft",Contact for details,1985,"Jan 2012 for $63,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2703 Arden Dr , Champaign, IL 61821","$95,000 ",3 beds,2 baths,"1,056 sq ft","1,054 sqft",1985,"Feb 2013 for $95,000",Forced air,Central,Garage - Detached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2105 Ivy Ct , Champaign, IL 61821","$91,000 ",2 beds,1 bath,950 sq ft,Contact for details,1984,"May 2012 for $91,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2105 Sunview Dr , Champaign, IL 61821","$87,000 ",2 beds,2 baths,"1,140 sq ft",Contact for details,1984,"May 2013 for $87,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Tile",Unknown
"2510 Heritage Dr # 2510 , Champaign, IL 61822","$80,000 ",2 beds,1 bath,880 sq ft,Contact for details,1984,"Jun 2012 for $80,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2704 Heritage Dr , Champaign, IL 61822","$75,000 ",3 beds,2 baths,"1,081 sq ft",Contact for details,1984,"Dec 2011 for $75,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"960 Pomona Dr , Champaign, IL 61822","$50,000 ",2 beds,3 baths,880 sq ft,Contact for details,1984,"Jul 2011 for $50,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2703 Hathaway Dr , Champaign, IL 61821","$134,000 ",3 beds,2 baths,"1,013 sq ft",Contact for details,1983,"Jul 2011 for $134,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"914 Pomona Dr , Champaign, IL 61822","$17,500 ",2 beds,1 bath,836 sq ft,836 sqft,1983,"Oct 2013 for $17,500",Forced air,Central,Garage - Detached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2712 Heritage Dr , Champaign, IL 61822","$79,000 ",2 beds,1 bath,876 sq ft,Contact for details,1983,"Jan 2013 for $79,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate, Linoleum / Vinyl",Unknown
"3110 Saratoga Dr , Champaign, IL 61821","$98,000 ",3 beds,1 bath,930 sq ft,"6,500 sqft",1983,"Jul 2011 for $98,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1127 Lancaster Dr , Champaign, IL 61821","$80,000 ",2 beds,2 baths,"1,135 sq ft",Contact for details,1982,"Apr 2013 for $80,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Tile",Unknown
"2604 Heritage Dr , Champaign, IL 61822","$70,000 ",2 beds,1 bath,836 sq ft,Contact for details,1982,"Sep 2013 for $70,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate, Tile",Unknown
"3202 Saratoga Dr , Champaign, IL 61821","$73,000 ",3 beds,1 bath,940 sq ft,Contact for details,1981,"Apr 2013 for $73,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3204 Saratoga Dr , Champaign, IL 61821","$82,000 ",3 beds,1 bath,954 sq ft,"6,500 sqft",1981,"Apr 2012 for $82,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1931 Blackthorn Dr , Champaign, IL 61821","$93,000 ",2 beds,1 bath,"1,100 sq ft",Contact for details,1980,"Jul 2011 for $93,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2003 S Mattis Ave APT D , Champaign, IL 61821","$75,000 ",2 beds,1 bath,900 sq ft,Contact for details,1980,"Jul 2013 for $75,000",Forced air,Central,Unknown,Unknown,Unknown,"Carpet, Hardwood, Laminate",Unknown
"26 Colony West Dr , Champaign, IL 61820","$65,000 ",2 beds,2 baths,"1,123 sq ft",Contact for details,1980,"Sep 2012 for $65,000",Forced air,Central,Off street,Unknown,No,"Carpet, Tile",No
"2113 Melrose Dr APT A , Champaign, IL 61820","$79,500 ",2 beds,2 baths,850 sq ft,849 sqft,1980,"Sep 2013 for $79,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
